symbol,name,category,close,prev_close,change_rate,volume,trading_value_proxy,after_hours_change_rate,premarket_change_rate,data_source,fetched_at,error
^IXIC,NASDAQ Composite,index,26571.041015625,25888.83984375,2.635116814783389,3996983000.0,106203999231755.86,,,yfinance,2026-06-15T15:10:36.758096+00:00,
^GSPC,S&P 500,index,7558.68017578125,7431.4599609375,1.7119141529721826,975707824.0,7375063386623.461,,,yfinance,2026-06-15T15:10:36.955947+00:00,
^DJI,Dow Jones,index,51877.5703125,51202.26171875,1.3189038356536287,151620457.0,7865700918830.883,,,yfinance,2026-06-15T15:10:37.150600+00:00,
^RUT,Russell 2000,index,2972.24609375,2943.989990234375,0.9597893881893027,0.0,0.0,,,yfinance,2026-06-15T15:10:37.337347+00:00,
^SOX,Philadelphia Semiconductor Index,index,13965.0927734375,13371.4697265625,4.439474934425225,0.0,0.0,,,yfinance,2026-06-15T15:10:37.500473+00:00,
QQQ,Invesco QQQ,sector_etf,742.3499755859375,721.3400268554688,2.912627602554818,15372746.0,11411957617.788818,,,yfinance,2026-06-15T15:10:37.711818+00:00,
SPY,SPDR S&P 500,sector_etf,754.6699829101562,741.75,1.7418244570483576,12853722.0,9700318162.0719,,,yfinance,2026-06-15T15:10:37.930815+00:00,
SOXX,iShares Semiconductor ETF,sector_etf,623.030029296875,596.25,4.491409525681345,3347984.0,2085894569.6054688,,,yfinance,2026-06-15T15:10:38.154809+00:00,
SMH,VanEck Semiconductor ETF,sector_etf,643.6787109375,619.9600219726562,3.8258416872386514,3569417.0,2297557733.3583984,,,yfinance,2026-06-15T15:10:38.358312+00:00,
XLK,Technology Select Sector SPDR,sector_etf,191.25,184.8000030517578,3.4902580312380804,4764619.0,911233383.75,,,yfinance,2026-06-15T15:10:38.593499+00:00,
XLY,Consumer Discretionary SPDR,sector_etf,118.81999969482422,116.5999984741211,1.9039461833233684,2456036.0,291826196.7704773,,,yfinance,2026-06-15T15:10:38.824071+00:00,
XLF,Financial Select Sector SPDR,sector_etf,53.89500045776367,53.34000015258789,1.0404955072893074,12475544.0,672369449.5908508,,,yfinance,2026-06-15T15:10:39.039384+00:00,
